177;224
265;397
324;408
424;282
84;767
453;779
91;632
138;622
77;581
165;381
181;296
187;296
65;339
182;561
176;53
334;777
63;734
410;645
112;25
347;652
53;14
150;585
473;344
38;665
91;751
277;388
222;456
208;577
350;541
210;648
5;683
143;216
472;776
339;215
103;48
465;33
55;217
173;698
165;432
470;75
426;441
220;685
184;182
249;679
335;396
313;381
348;241
88;447
351;84
469;792
263;701
141;462
50;66
341;505
396;220
217;438
255;62
9;67
2;612
106;734
370;167
298;212
254;397
170;545
128;788
274;706
24;652
288;253
304;126
69;213
274;659
229;177
344;798
133;50
413;481
128;31
101;179
141;445
117;596
458;588
465;76
374;717
204;331
98;612
367;684
261;554
442;713
83;40
359;272
439;415
285;304
31;593
156;599
129;167
125;450
394;548
287;389
175;711
98;782
382;696
74;347
258;570
27;636
492;375
471;788
178;672
11;707
109;250
196;449
45;705
416;442
471;168
378;266
495;66
500;695
29;778
168;220
114;9
456;184
394;719
95;631
109;333
102;675
396;503
361;68
167;494
28;327
275;12
302;1
464;529
373;371
72;367
165;405
481;741
461;352
291;686
62;357
7;650
340;515
232;685
81;389
104;636
220;478
74;321
226;653
99;684
105;208
376;659
480;773
359;791
284;202
466;224
193;14
414;137
165;764
402;337
410;396
267;162
328;157
201;148
120;165
133;165
449;467
482;375
240;714
305;194
316;299
324;672
320;641
241;409
476;40
239;287
400;736
62;441
124;770
48;582
156;356
403;382
195;232
11;706
20;313
287;643
195;294
268;643
350;232
177;797
330;6
145;265
245;386
258;202
284;791
286;480
468;557
450;319
167;656
70;155
297;764
308;534
363;594
417;736
228;114
321;95
247;361
489;90
444;689
80;142
460;458
87;438
369;719
333;256
412;585
479;459
316;165
225;476
378;248
232;290
355;729
243;207
339;40
449;302
40;427
158;447
136;3
415;169
122;7
87;230
59;798
465;46
32;647
286;111
339;329
117;90
77;656
479;584
424;239
225;794
376;123
5;356
150;782
13;225
61;672
477;271
277;588
211;242
164;474
94;167
221;775
44;332
446;404
363;103
435;169
205;695
413;495
129;663
130;576
164;551
463;278
455;193
372;563
74;80
392;271
56;119
137;64
128;443
370;131
403;52
47;591
212;56
227;21
151;681
281;591
467;430
423;590
158;98
196;460
155;545
421;17
404;9
84;69
