900;00013600020019;10
899;00024000001652;10
898;00050428456743;8
897;05000159471985;15
896;07613034028358;9
895;00052000506402;5
894;00041143092804;18
893;05296849390395;14
892;05296849389801;16
891;09780307119384;6
890;00099482434182;9
889;00072486002205;16
888;00049000047561;19
887;00011110683991;4
886;00028400164726;3
885;06933362464774;1
884;00087300453842;9
883;07350040035054;14
882;00092325333482;18
881;08103950068662;4
880;07340083440526;5
879;00050000322756;11
878;00787099479626;10
877;00028400039161;1
876;00028200178244;19
875;00044000032401;13
874;05296849394744;12
873;00078783508020;13
872;00072273387652;2
871;00075720481279;1
870;05203912390251;2
869;00024126010279;4
868;05296849397004;3
867;05060280540233;18
866;00000000959742;1
865;05296849397516;19
864;09791186564004;14
863;00000000282857;11
862;07898193140015;4
861;00750343807117;5
860;00041498125905;5
859;00038000731099;14
858;05296849394089;7
857;06096849388625;19
856;05296849391811;2
855;08594052882247;13
854;05296849391071;10
853;00787099473952;13
852;00621683921354;4
851;00054100006769;7
850;00018000005093;17
849;00365632803833;2
848;00026229213762;9
847;00070177154127;17
846;00016000263444;18
845;00794063105870;4
844;09781426203251;13
843;06001156230253;15
842;00085239011225;3
841;05296849396106;15
840;07392151100313;6
839;00728238886479;7
838;00722252101204;6
837;06151004000627;16
836;00812569002575;2
835;05296849398032;1
834;00020662000125;15
833;00018200003325;12
832;07322440312899;15
831;04008400183022;9
830;00664766062094;12
829;05296849398223;10
828;05296849391088;20
827;05296849398476;12
826;05296849390401;5
825;00787099473860;3
824;00731517009162;1
823;00036800365414;7
822;00000096010235;14
821;00038000001109;16
820;08718114563992;10
819;00037600246095;4
818;09789521602962;4
817;00085239519813;1
816;00627843315315;8
815;00853693002000;8
814;07318690007302;3
813;08001090479433;7
812;05296849397240;6
811;08992982201501;19
810;04801010505006;13
809;05296849394812;1
808;00041498157722;6
807;00018000005093;18
806;07622300811679;7
805;07331010065622;16
804;00085239032053;17
803;00722252601414;11
802;00747599306532;1
801;00028400157476;1
800;00667803000707;7
799;05296849396052;15
798;00022100000636;13
797;00846675001344;11
796;00728238886523;16
795;09780764144776;9
794;00096619217939;4
793;05296849390807;20
792;00078742434223;3
791;08000795013126;15
790;05296849391460;7
789;00036800097209;17
788;09780316369152;5
787;00787099473853;10
786;06426282410568;11
785;00638102532930;8
784;00038000558351;15
783;00016000442795;5
782;05296849398803;20
781;00749826000565;6
